Symbol,Name,PE Ratio,Dividend Yield,Earnings Growth
ODFL,"Old Dominion Freight Line, Inc.",0.05983675704024395,0.011383759170250442,0.0031472240650469037
MFG,"Mizuho Financial Group, Inc. Sp",0.20156459751700695,0.08727548697192006,0.0033843875892968743
TAK,Takeda Pharmaceutical Company L,0.05911760546049948,0.10979003288641537,0.002733790353854388
NUE,Nucor Corporation,0.20716973043630726,0.028332911712623324,0.0019870457437159675
LEN,Lennar Corporation,0.19466972267228563,0.032127496837844674,0.0033074696895401268
CM,Canadian Imperial Bank of Comme,0.18064367982890359,0.14368832785226407,0.003801026212979254
WMB,"Williams Companies, Inc. (The)",0.170621100014693,0.13711105489501643,0.005454761057749317
MSCI,MSCI Inc.,0.05908005474199579,0.02782696686061219,0.006012415830985734
TRV,"The Travelers Companies, Inc.",0.13104957830754735,0.04528206172527194,0.006429054454668116
O,Realty Income Corporation,0.055678556146006856,0.14647103465722233,0.0026087987667496736
IQV,"IQVIA Holdings, Inc.",0.06859163437310609,0.0,0.00672711131622551
GWW,"W.W. Grainger, Inc.",0.08724149181511939,0.019225904376422968,0.0032690107396617534
D,"Dominion Energy, Inc.",0.11799270464235881,0.14065266885909436,0.0
LNG,"Cheniere Energy, Inc.",0.4915391665044493,0.02732102200860106,0.0010832604215741887
DASH,"DoorDash, Inc.",0.0,0.0,0.0
ADM,Archer-Daniels-Midland Company,0.28397911722355973,0.09410574247407032,0.0025799545543408933
KMB,Kimberly-Clark Corporation,0.09837029469420319,0.10093599797622058,0.003144019152557039
TRP,TC Energy Corporation,0.11688817910770595,0.17986339488995698,0.0
DDOG,"Datadog, Inc.",0.0025862603034712012,0.0,0.0
COR,"Cencora, Inc.",0.0892134980456415,0.021249683784467493,0.004015755349800173
KVUE,Kenvue Inc.,0.107348383502731,0.10498355679230963,0.0
SU,Suncor Energy  Inc.,0.2915511387000246,0.11965595750063242,0.0033523384643982294
DLR,"Digital Realty Trust, Inc.",0.051016650447197893,0.08904629395395901,0.0
A,"Agilent Technologies, Inc.",0.07366986563024192,0.01745509638249431,0.004124722374455565
BIDU,"Baidu, Inc.",0.12147827697216172,0.0,0.0
BK,The Bank of New York Mellon Cor,0.16063458752515095,0.07589172527194535,0.0016216857198714189
CNC,Centene Corporation,0.13919871380214718,0.0,0.0
PLTR,Palantir Technologies Inc.,0.0093475963441107,0.0,0.008451354235772592
OKE,"ONEOK, Inc.",0.16616675927594235,0.13685808246901088,0.003220937052313786
LHX,"L3Harris Technologies, Inc.",0.06972222739748041,0.05413609916519099,0.0011441537588816135
KMI,"Kinder Morgan, Inc.",0.13865457352051855,0.1651909941816342,0.00277865912871249
URI,"United Rentals, Inc.",0.1218407532016585,0.024538325322539845,0.0034356661891347057
FERG,Ferguson plc,0.09762660152415861,0.037945863900834806,0.0027818640412023547
WDS,Woodside Energy Group Limited,0.38031416602491297,0.28636479888692135,0.0019453818813477295
MFC,Manulife Financial Corporation,0.17707393707361033,0.12218567670123956,0.006201505667887738
AMP,"Ameriprise Financial, Inc.",0.13170309991966045,0.03313939033645333,0.0018780787190605759
CTSH,Cognizant Technology Solutions ,0.11999535562300286,0.037439919048823676,0.0034645104015434856
DOW,Dow Inc.,0.03432879791601615,0.12522135087275485,0.0
CEG,Constellation Energy Corporatio,0.08964274897547903,0.02074373893245636,0.0
GIS,"General Mills, Inc.",0.14177883036721312,0.09081710093599797,0.0031536338900266326
ALC,Alcon Inc.,0.026917453321618084,0.006830255502150265,0.005631031244691864
BBD,Banco Bradesco Sa,0.2048407978989264,0.10877814318239311,0.007967412449803056
AME,"AMETEK, Inc.",0.0738565314474243,0.015431317986339487,0.003483739876482672
PRU,"Prudential Financial, Inc.",0.14060374927410418,0.1211737920566658,0.0
